,0,1,2,accuracy,macro avg,weighted avg
precision,0.9215686274509803,0.9364161849710982,0.9310344827586207,0.9342723004694836,0.9296730983935664,0.9336418929941798
recall,0.6911764705882353,0.9938650306748467,0.84375,0.9342723004694836,0.8429305004210272,0.9342723004694836
f1-score,0.7899159663865546,0.9642857142857142,0.8852459016393444,0.9342723004694836,0.8798158607705377,0.9305147826851821
support,68.0,326.0,32.0,0.9342723004694836,426.0,426.0
